Time Step,Time,water_potential_evaporation_flux
0,2015-12-01 00:00:00,0.000000016
1,2015-12-01 01:00:00,0.000000040
2,2015-12-01 02:00:00,0.000000002
3,2015-12-01 03:00:00,0.000000000
4,2015-12-01 04:00:00,0.000000036
5,2015-12-01 05:00:00,0.000000032
6,2015-12-01 06:00:00,0.000000000
7,2015-12-01 07:00:00,0.000000000
8,2015-12-01 08:00:00,0.000000000
9,2015-12-01 09:00:00,0.000000000
10,2015-12-01 10:00:00,0.000000000
11,2015-12-01 11:00:00,0.000000000
12,2015-12-01 12:00:00,0.000000000
13,2015-12-01 13:00:00,0.000000023
14,2015-12-01 14:00:00,0.000000055
15,2015-12-01 15:00:00,0.000000132
16,2015-12-01 16:00:00,0.000000100
17,2015-12-01 17:00:00,0.000000152
18,2015-12-01 18:00:00,0.000000176
19,2015-12-01 19:00:00,0.000000166
20,2015-12-01 20:00:00,0.000000088
21,2015-12-01 21:00:00,0.000000100
22,2015-12-01 22:00:00,0.000000066
23,2015-12-01 23:00:00,0.000000059
24,2015-12-02 00:00:00,0.000000056
25,2015-12-02 01:00:00,0.000000052
26,2015-12-02 02:00:00,0.000000010
27,2015-12-02 03:00:00,0.000000039
28,2015-12-02 04:00:00,0.000000046
29,2015-12-02 05:00:00,0.000000056
30,2015-12-02 06:00:00,0.000000064
31,2015-12-02 07:00:00,0.000000067
32,2015-12-02 08:00:00,0.000000001
33,2015-12-02 09:00:00,0.000000078
34,2015-12-02 10:00:00,0.000000079
35,2015-12-02 11:00:00,0.000000078
36,2015-12-02 12:00:00,0.000000082
37,2015-12-02 13:00:00,0.000000032
38,2015-12-02 14:00:00,0.000000062
39,2015-12-02 15:00:00,0.000000053
40,2015-12-02 16:00:00,0.000000060
41,2015-12-02 17:00:00,0.000000142
42,2015-12-02 18:00:00,0.000000068
43,2015-12-02 19:00:00,0.000000057
44,2015-12-02 20:00:00,0.000000047
45,2015-12-02 21:00:00,0.000000025
46,2015-12-02 22:00:00,0.000000012
47,2015-12-02 23:00:00,0.000000025
48,2015-12-03 00:00:00,0.000000058
49,2015-12-03 01:00:00,0.000000066
50,2015-12-03 02:00:00,0.000000054
51,2015-12-03 03:00:00,0.000000025
52,2015-12-03 04:00:00,0.000000010
53,2015-12-03 05:00:00,0.000000002
54,2015-12-03 06:00:00,0.000000000
55,2015-12-03 07:00:00,0.000000000
56,2015-12-03 08:00:00,0.000000000
57,2015-12-03 09:00:00,0.000000000
